ID;Nom;Type;GB-Type (FILTRE 1);Thèmes-tags;GB-Themes-tags (FILTRE 2);Filière;Filière picto;numfil;GB-Sector (FILTRE 3);Ens. sup. recherche;Département;Hébergeur;Adresse;CP;Ville;Innov'up incubation 2023;GB-Label INNOV'UP;Liens avec établissement ESR;GB-Linked with higher education and research institutions;Accueil d'entreprises étrangères;GB-Foreign business accommodation;W3;Raison sociale;SIRET;Incubateur;Accélérateur;Date mise à jour;Adresse complète;CoordXY;Nombre de thèmes-tags;Thème 1 (popin);Thème 2 (popin);Thème 3 (popin);Thème 4 (popin)
100;Paris Biotech Santé;Incubateur;Incubator;Deeptech,Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins,Développement de logiciels / Service Cloud / Big data (ou données de masse);Deeptech,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare,Software development / Cloud services / Big data;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Oui;75.0;;24 rue du faubourg Saint-Jacques;75014.0;Paris;Oui;Yes;Université Paris Cité, ESSEC, INSERM, AP-HP, CentraleSupelec Université de Paris-Saclay;Paris Cité University, ESSEC, INSERM, AP-HP, CentraleSupelec Université de Paris-Saclay;Oui;yes;https://parisbiotechsante.org/;;43496931700024;Oui;non;2024_04_29;24 rue du faubourg Saint-Jacques;48.837494, 2.338534;3.0;Deeptech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Développement de logiciels / Service Cloud / Big data (ou données de masse);
110;Rungis & Co;Incubateur;Incubator;FoodTech, Agritech, Agrotech,Impact environnemental, Durabilité, économie circulaire;FoodTech / Agritech / Agrotech,Environmental impact / Sustainability / Circular economy;6. Agriculture, agro-alimentaire et nutrition;6_agric.jpg;6;6. Agriculture, AgTech/Agri-Food, FoodTech;Non;94.0;Marché de Rungis;rue de Lyon Bâtiment E4;94550.0;Chevilly-Larue;Oui;Yes;;;Oui;yes;https://www.rungisandco.com/;;;Oui;non;2024_04_29;Marché de Rungis rue de Lyon Bâtiment E4;48.763927, 2.363773;2.0;FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;;
112;Centre pour l’Entrepreneuriat de Sciences Po;Incubateur;Incubator;Impact social / Solidarité,Impact environnemental, Durabilité, économie circulaire,Tourisme / Ville intelligente / PropTech,Etudiant;Social impact / Solidarity,Environmental impact / Sustainability / Circular economy,Tourism / Smart City / Proptech,Student;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;;1 place St Thomas d'Aquin;75007.0;Paris;Non;No;Sciences Po;Sciences Po;;;https://www.sciencespo.fr/entrepreneurs/index.html;Fondation Nationale des Sciences Politiques;;Oui;non;2024_04_29;1 place St Thomas d'Aquin;48.856099, 2.327577;4.0;Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;Tourisme / Ville intelligente / PropTech;Etudiant
133;Insead @ STATION F;Accélérateur;Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;INSEAD;INSEAD;;;https://www.insead.edu/launchpad-station-f;;;non;Oui;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;;;;;
139;Ville de demain @ STATION F;Accélérateur;Accelerator;Tourisme / Ville intelligente / PropTech,Impact environnemental, Durabilité, économie circulaire,Automobile, Mobilité, Mobilité partagée,Energie renouvelable;Tourism / Smart City / Proptech,Environmental impact / Sustainability / Circular economy,Automotive / Mobility / Shared mobility,Energy / Renewables;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;;;https://www.ville-demain.com/;Association Ville de demain;;non;Oui;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;4.0;Tourisme / Ville intelligente / PropTech;Impact environnemental, Durabilité, économie circulaire;Automobile, Mobilité, Mobilité partagée;Energie renouvelable
143;Les Ateliers de Paris, Incubateur des métiers de la création;Incubateur;Incubator;Luxe / Beauté / Cosmétique / Mode / Textile;Luxury / Beauty / Cosmetic / Fashion / Textile;5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Non;75.0;;30 rue du Faubourg Saint-Antoine;75012.0;Paris;Non;No;;;;;https://www.bdmma.paris/accompagnement/incubateur/;Ville deParis;;Oui;non;2024_04_29;30 rue du Faubourg Saint-Antoine;48.852407, 2.371645;1.0;Luxe / Beauté / Cosmétique / Mode / Textile;;;
146;Innest, accélérateur de l'Ordre des experts-comptables Paris Ile-de-France;Accélérateur;Accelerator;Développement de logiciels / Service Cloud / Big data (ou données de masse);Software development / Cloud services / Big data;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;;50 rue de Londres;75008.0;Paris;Non;No;;;;;https://www.innest.fr;;88242824600012;non;Oui;2024_04_29;50 rue de Londres;48.878327, 2.325728;1.0;Développement de logiciels / Service Cloud / Big data (ou données de masse);;;
156;Station Numixs incubateur;Incubateur;Incubator;Développement de logiciels / Service Cloud / Big data (ou données de masse),Tourisme / Ville intelligente / PropTech,Biens de consommation / Retail / E-commerce,Marketing / Publicité / Communication / Media;Software development / Cloud services / Big data,Tourism / Smart City / Proptech,Consumer goods / Retail / E-commerce,Marketing / Advertising / Communication / Media;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Oui;95.0;;18 Avenue du 8 Mai 1945;95200.0;Sarcelles;Non;No;CY - Cergy Paris Université;CY - Cergy Paris University;;;https://numixs.roissypaysdefrance.fr/;communauté d'agglomération Roissy Pays de France;;Oui;non;2024_04_29;18 Avenue du 8 Mai 1945;48.977571, 2.372547;4.0;Développement de logiciels / Service Cloud / Big data (ou données de masse);Tourisme / Ville intelligente / PropTech;Biens de consommation / Retail / E-commerce;Marketing / Publicité / Communication / Media
158;INCOPLEX 91;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;91.0;;30 avenue Carnot;91300.0;Massy;Oui;Yes;;;;;https://inco-group.co/;;;Oui;non;2024_04_29;30 avenue Carnot;48.728599, 2.264861;;;;;
162;Incubateur CCI Bourse;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;2 place de la Bourse;75002.0;Paris;Non;No;;;;;https://www.cci-paris-idf.fr/fr#1;;;Oui;non;2024_04_29;2 place de la Bourse;48.869579, 2.342114;;;;;
174;KEDGE BS - Campus Paris;Incubateur;Incubator;Etudiant;Student;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;;40 avenue des terroirs de France;75012.0;Paris;Non;No;;;;;https://entrepreneurship.kedge.edu;;;Oui;non;2024_04_29;40 avenue des terroirs de France;48.831912, 2.388676;;;;;
175;La Dynamo;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;94.0;;94 avenue du Général De Gaulle;94000.0;Créteil;Non;No;;;;;https://sudestavenir.fr/incubateur-dentreprises-in;;;Oui;non;2024_04_29;94 avenue du Général De Gaulle;48.796694, 2.448206;;;;;
193;La Maison des Startups / LVMH;Accélérateur;Accelerator;Luxe / Beauté / Cosmétique / Mode / Textile;Luxury / Beauty / Cosmetic / Fashion / Textile;5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;Oui;yes;https://lamaisondesstartups.lvmh.com/;;;non;Oui;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;1.0;Luxe / Beauté / Cosmétique / Mode / Textile;;;
195;Village by CA Brie Picardie;Accélérateur;Accelerator;Impact environnemental, Durabilité, économie circulaire,Impact social / Solidarité;Environmental impact / Sustainability / Circular economy,Social impact / Solidarity;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;77.0;;3 rue de la Galmy;77700.0;Chessy;Non;No;;;Oui;yes;https://briepicardie.levillagebyca.com/;VILLAGE BY CA BRIE PICARDIE;84884393400011;non;Oui;2024_04_29;3 rue de la Galmy;48.85608, 2.77154;2.0;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité;;
200;Platform58;Incubateur;Incubator;Deeptech;Deeptech;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;75.0;;58 rue de la Victoire;75009.0;Paris;Non;No;;;;;https://www.platform58.fr/incubateur;;;Oui;non;2024_04_29;58 rue de la Victoire;48.87529, 2.334175;;;;;
201;WILCO - HEALTHCARE;Accélérateur;Accelerator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins,Deeptech,Impact social / Solidarité,Femmes / FemTech,Sport / Handicap / Bien-Etre;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare,Deeptech,Social impact / Solidarity,Women / FemTech,Sport / Autonomy / Handicap / Well-being;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;75.0;;10 rue de Moussy;75004.0;Paris;Non;No;;;Oui;yes;https://www.wilco-ambitions.com/secteurs/healthcare/;;;non;Oui;2024_04_29;10 rue de Moussy;48.857658, 2.355766;5.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Deeptech;Impact social / Solidarité;Femmes / FemTech
209;ANTLER;Incubateur,Accélérateur;Incubator, Accelerator;Deeptech,FoodTech, Agritech, Agrotech,Impact environnemental, Durabilité, économie circulaire,Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Deeptech,FoodTech / Agritech / Agrotech,Environmental impact / Sustainability / Circular economy,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;;45 rue des Petites Ecuries;75010.0;Paris;Non;No;;;;;https://www.antler.co/location/france;;91479956400036;Oui;Oui;2024_05_22;1 rue de Metz;48.870637, 2.354416;4.0;Deeptech;FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins
211;PI CUBE;Incubateur;Incubator;FoodTech, Agritech, Agrotech,Deeptech,Biens de consommation / Retail / E-commerce,Développement de logiciels / Service Cloud / Big data (ou données de masse);FoodTech / Agritech / Agrotech,Deeptech,Consumer goods / Retail / E-commerce,Software development / Cloud services / Big data;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;78.0;;3 rue Camille Jenatzy;78260.0;Achères;Non;No;;;;;https://gpseo.fr/entreprendre/mon-projet-dentreprise/lincubateur-pi-cube;;;Oui;non;2024_05_22;3 rue Camille Jenatzy;48.972227, 2.078573;4.0;FoodTech, Agritech, Agrotech;Deeptech;Biens de consommation / Retail / E-commerce;Développement de logiciels / Service Cloud / Big data (ou données de masse)
212;Axel By Meogroup;Accélérateur;Accelerator;Impact environnemental, Durabilité, économie circulaire,Industrie / Logistique FoodTech, Agritech, Agrotech,Automobile, Mobilité, Mobilité partagée,Biens de consommation / Retail / E-commerce;Environmental impact / Sustainability / Circular economy,Social impact / Solidarity,Deeptech,Edtech,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;27-33 quai Alphonse le Gallo, Immeuble ILEO;92100.0;Boulogne-Billancourt;Non;No;;;;;https://axel.meogroup.eu/;;;non;Oui;2024_05_22;27-33 quai Alphonse le Gallo, Immeuble ILEO;48.83559036254883, 2.225205183029175;5.0;Impact environnemental, Durabilité, économie circulaire;Industrie / Logistique;FoodTech, Agritech, Agrotech;Automobile, Mobilité, Mobilité partagée
215;Generative AI @Station F;Accélérateur;Accelerator;Deeptech;Deeptech;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;Oui;yes;https://experiences.microsoft.fr/microsoft-generative-ai-startup-program/;;;non;Oui;2024_05_22;Station F 5 parvis Alan Turing;48.83347671558393, 2.3718779980817923;1.0;Deeptech;;;
220;Pépinère 27 Incubateur;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;27 rue du Chemin Vert;75011.0;Paris;Non;No;;;;;https://www.pepiniere27.fr;PEPINIERE 27;52191598300022;Oui;non;2024_05_22;27 rue du Chemin Vert 75011 Paris;48.858587, 2.373083;;;;;
3;21st By CentraleSupélec;Incubateur;Incubator;FoodTech, Agritech, Agrotech,Impact environnemental, Durabilité, économie circulaire,Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins,Industrie / Logistique;FoodTech / Agritech / Agrotech,Environmental impact / Sustainability / Circular economy,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare,Industry / Logistic;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;91.0;Plateau du Moulon;3 rue Joliot Curie;91190.0;Gif-sur-Yvette;Oui;Yes;CentraleSupelec - Université Paris Saclay;CentraleSupelec - Paris Saclay University;Oui;yes;https://21st.centralesupelec.com/;CENTRALESUPELEC;13002076100016;Oui;non;2024_04_29;Plateau du Moulon 3 rue Joliot Curie;48.709629, 2.170077;4.0;FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Industrie / Logistique
10;Biolabs Hôtel-Dieu;Incubateur;Incubator;Deeptech,Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins,Sport / Handicap / Bien-Etre;Deeptech,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare,Sport / Autonomy / Handicap / Well-being;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Oui;75.0;;1 parvis Notre-Dame, Place Jean-Paul II;75004.0;Paris;Non;No;AP-HP;AP-HP;Oui;yes;https://www.biolabs.io/hotel-dieu;AP-HP ASSITANCE PUBLIQUE HOPITAUX DE PARIS;26750045200011;Oui;non;2024_04_29;1 parvis Notre-Dame, Place Jean-Paul II;48.853928, 2.348347;3.0;Deeptech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Sport / Handicap / Bien-Etre;
16;Campus Cyber;Incubateur,Accélérateur;Incubator, Accelerator;Deeptech,Aéronautique - Spatial - Défense;Deeptech,Aeronautics / Space / Defense;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;92.0;Tour Eria;5 rue Bellini;92800.0;Puteaux / Paris La Défense;Non;No;;;Oui;yes;https://campuscyber.fr/;S.A.S Campus Cyber;89234363300012;Oui;Oui;2024_04_29;Tour Eria 5 rue Bellini;48.886529, 2.249308;2.0;Deeptech;Aéronautique - Spatial - Défense;;
27;INCUBATEUR EDHEC @ STATION F;Incubateur;Incubator;Etudiant;Student;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;EDHEC;EDHEC;;;https://www.edhec.edu/fr/a-propos/entreprendre-a-l-edhec/edhec-entrepreneurs;Edhec;;Oui;non;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;1.0;Etudiant;;;
33;Evolen'up;Accélérateur;Accelerator;Deeptech,Impact environnemental, Durabilité, économie circulaire,Energie renouvelable;Deeptech,Environmental impact / Sustainability / Circular economy,Energy / Renewables;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;92.0;;39 rue LOuis Blanc;92400.0;Courbevoie;Non;No;;;Oui;yes;https://www.evolenup.com/;EVOLEN;53458541900011;non;Oui;2024_04_29;39 rue LOuis Blanc;48.891443, 2.252005;3.0;Deeptech;Impact environnemental, Durabilité, économie circulaire;Energie renouvelable;
34;Food Inn Lab by AgroParisTech;Incubateur;Incubator;FoodTech, Agritech, Agrotech,Impact environnemental, Durabilité, économie circulaire;FoodTech / Agritech / Agrotech,Environmental impact / Sustainability / Circular economy;6. Agriculture, agro-alimentaire et nutrition;6_agric.jpg;6;6. Agriculture, AgTech/Agri-Food, FoodTech;Oui;91.0;;22 place de l'Agronomie;91120.0;Palaiseau;Non;No;AGROPARISTECH;AGROPARISTECH;Oui;yes;https://www.agroparistech.fr/innovation/innlabs/foodinnlab;AgroParisTech;;Oui;non;2024_04_29;22 place de l'Agronomie;48.718527, 2.247633;2.0;FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;;
69;La Ruche Saint-Germain-en-Laye;Incubateur;Incubator;Impact environnemental, Durabilité, économie circulaire,Impact social / Solidarité;Environmental impact / Sustainability / Circular economy,Social impact / Solidarity;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;78.0;;7 place Christiane Frahier;78100.0;Saint-Germain-en-Laye;Non;No;;;;;https://la-ruche.net/espaces/coworking-saint-germain/;L'Académie des Ruches;50299030200056;Oui;non;2024_04_29;7 place Christiane Frahier;48.902874, 2.073638;2.0;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité;;
77;L'Accélérateur ESS;Accélérateur;Accelerator;Impact social / Solidarité;Social impact / Solidarity;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;78.0;;1 rue de la Libération;78350.0;Jouy-en-Josas;Non;No;;;;;https://www.hec.edu/fr/stories/hec-accelerateur-ess;HEC PARIS;;non;Oui;2024_04_29;1 rue de la Libération;48.757325, 2.169014;1.0;Impact social / Solidarité;;;
107;Prevent2careLab;Accélérateur;Accelerator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;75.0;;3 boulevard Saint Martin;75003.0;Paris;Non;No;;;;;https://www.prevent2carelab.co/;;;non;Oui;2024_04_29;3 boulevard Saint Martin;48.867894, 2.361668;1.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;;
109;Hub d'innovation de la Refactory Renault;Incubateur;Incubator;Impact environnemental, Durabilité, économie circulaire,Automobile, Mobilité, Mobilité partagée,Energie renouvelable;Environmental impact / Sustainability / Circular economy,Automotive / Mobility / Shared mobility,Energy / Renewables;3. Aéronautique - Spatial - Défense - Mobilité durable et intelligente (dont automobile);3_mobil.jpg;3;3. Aeronautics / Space / Defense - Smart Mobility;Non;78.0;Usine Renault;boulevard Pierre-Lefaucheux;78415.0;Aubergenville;Non;No;;;Oui;yes;https://hub.refactorybyrenaultgroup.com/program/ref-refactory-2023?utm_source=site-schoolab&utm_medium=referral&utm_campaign=landing-candidature2023;Renault SAS;78012998703591;Oui;non;2024_04_29;Usine Renault boulevard Pierre-Lefaucheux;48.976725, 1.848941;3.0;Impact environnemental, Durabilité, économie circulaire;Automobile, Mobilité, Mobilité partagée;Energie renouvelable;
116;Space Green by NAVER / LINE @ STATION F;Incubateur;Incubator;Industries Culturelles & Créatives,AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo,Marketing / Publicité / Communication / Media;Cultural / Creative,AR / VR / Gaming,Marketing / Advertising / Communication / Media;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;;;https://www.spacegreen.co/;NAVER;;Oui;non;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;3.0;Industries Culturelles & Créatives;AR / VR, Réalité augmentée / réalité Virtuelle, Jeu vidéo;Marketing / Publicité / Communication / Media;
118;Starburst France - BLAST;Accélérateur;Accelerator;Deeptech,Aéronautique - Spatial - Défense;Deeptech,Aeronautics / Space / Defense;3. Aéronautique - Spatial - Défense - Mobilité durable et intelligente (dont automobile);3_mobil.jpg;3;3. Aeronautics / Space / Defense - Smart Mobility;Non;75.0;;20 bis rue Balard;75015.0;Paris;Non;No;;;Oui;yes;https://starburst.aero/;STARBURST ACCELERATOR;80523206300026;non;Oui;2024_04_29;20 bis rue Balard;48.84422, 2.277098;2.0;Deeptech;Aéronautique - Spatial - Défense;;
120;The Schoolab;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;15 rue de Milan;75009.0;Paris;Oui;Yes;;;Oui;yes;https://www.theschoolab.com/;;80226979500026;Oui;non;2024_04_29;15 rue de Milan;48.878742, 2.327852;;;;;
130;Station F;Incubateur,Accélérateur;Accelerator;Femmes / FemTech,Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Women / FemTech,Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;;;https://stationf.co/;Station F;79449384100025;Oui;Oui;2024_04_29;Station F 5 parvis Alan Turing;48.834508, 2.370634;2.0;Femmes / FemTech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;
